country,happiness_score,social_support,healthy_life_expectancy,freedom_of_choices,generosity,perception_of_corruption,world_region
Afghanistan,2.566900015,0.470366955,52.59000015,0.39657300700000003,-0.0964294,0.9336865540000001,South Asia
Albania,4.882699966000001,0.671070457,68.70813751,0.7819942240000001,-0.042309489000000006,0.896303713,Central and Eastern Europe
Algeria,5.005099773,0.8033851390000001,65.90517426,0.46661090899999996,-0.121105164,0.7354851370000001,Middle East and North Africa
Argentina,5.974699974,0.900567949,68.80380249,0.831132412,-0.194913864,0.8420098420000001,Latin America and Caribbean
Armenia,4.676799774,0.7574794290000001,66.75065613,0.7120178340000001,-0.13877961,0.7735447879999999,Commonwealth of Independent States
Australia,7.222799778,0.9448546170000001,73.60453796,0.915431738,0.19046016,0.41516912,North America and ANZ
Austria,7.294199944,0.9280458690000001,73.00250244,0.899989486,0.085429221,0.49995487899999996,Western Europe
Azerbaijan,5.164800167,0.819308281,65.50839996,0.786824107,-0.24025528100000001,0.55253756,Commonwealth of Independent States
Bahrain,6.227300167,0.876342118,68.5,0.905855775,0.13372919,0.7393470999999999,Middle East and North Africa
Bangladesh,4.832799911,0.687292993,64.50306702,0.90062499,-0.033664726,0.661843538,South Asia
Belarus,5.539899826,0.90674746,66.10433197,0.6391630770000001,-0.164926544,0.63571167,Commonwealth of Independent States
Belgium,6.863500117999999,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952,Western Europe
Benin,5.21600008,0.46867114299999996,54.31246567,0.735182583,-0.003537213,0.7405325770000001,Sub-Saharan Africa
Bolivia,5.747499942999999,0.803108692,63.6004715,0.875873327,-0.09168113,0.8226062059999999,Latin America and Caribbean
Botswana,3.4788999560000002,0.7791217570000001,58.92445374,0.8213281040000001,-0.250394493,0.777930915,Sub-Saharan Africa
Brazil,6.375599861,0.896723807,66.48016357,0.799804807,-0.10181239199999999,0.7706012729999999,Latin America and Caribbean
Bulgaria,5.101500034,0.937840343,66.80397797,0.745178163,-0.143908441,0.9355851409999999,Central and Eastern Europe
Burkina Faso,4.768700123,0.7129436140000001,53.88945389,0.665563583,-0.019080516000000002,0.739795029,Sub-Saharan Africa
Burundi,3.775300026,0.490325719,53.40000153,0.626350224,-0.017551597,0.606934547,Sub-Saharan Africa
