country_name,area,population,literacy
afghanistan,647500,31056997,"36,0"
albania,28748,3581655,"86,5"
algeria,2381740,32930091,"70,0"
argentina,2766890,39921833,"97,1"
armenia,29800,2976372,"98,6"
australia,7686850,20264082,"100,0"
austria,83870,8192880,"98,0"
azerbaijan,86600,7961619,"97,0"
bahrain,665,698585,"89,1"
bangladesh,144000,147365352,"43,1"
belarus,207600,10293011,"99,6"
belgium,30528,10379067,"98,0"
benin,112620,7862944,"40,9"
bolivia,1098580,8989046,"87,2"
botswana,600370,1639833,"79,8"
brazil,8511965,188078227,"86,4"
bulgaria,110910,7385367,"98,6"
burkina faso,274200,13902972,"26,6"
burundi,27830,8090068,"51,6"
cambodia,181040,13881427,"69,4"
cameroon,475440,17340702,"79,0"
canada,9984670,33098932,"97,0"
chad,1284000,9944201,"47,5"
chile,756950,16134219,"96,2"
china,9596960,1313973713,"90,9"
colombia,1138910,43593035,"92,5"
comoros,2170,690948,"56,5"
costa rica,51100,4075261,"96,0"
croatia,56542,4494749,"98,5"
cyprus,9250,784301,"97,6"
czech republic,78866,10235455,"99,9"
denmark,43094,5450661,"100,0"
dominican republic,48730,9183984,"84,7"
ecuador,283560,13547510,"92,5"
egypt,1001450,78887007,"57,7"
el salvador,21040,6822378,"80,2"
estonia,45226,1324333,"99,8"
ethiopia,1127127,74777981,"42,7"
finland,338145,5231372,"100,0"
france,547030,60876136,"99,0"
gabon,267667,1424906,"63,2"
georgia,69700,4661473,"99,0"
germany,357021,82422299,"99,0"
ghana,239460,22409572,"74,8"
greece,131940,10688058,"97,5"
guatemala,108890,12293545,"70,6"
guinea,245857,9690222,"35,9"
haiti,27750,8308504,"52,9"
honduras,112090,7326496,"76,2"
hungary,93030,9981334,"99,4"
iceland,103000,299388,"99,9"
india,3287590,1095351995,"59,5"
indonesia,1919440,245452739,"87,9"
iran,1648000,68688433,"79,4"
iraq,437072,26783383,"40,4"
ireland,70280,4062235,"98,0"
israel,20770,6352117,"95,4"
italy,301230,58133509,"98,6"
jamaica,10991,2758124,"87,9"
japan,377835,127463611,"99,0"
jordan,92300,5906760,"91,3"
kazakhstan,2717300,15233244,"98,4"
kenya,582650,34707817,"85,1"
kuwait,17820,2418393,"83,5"
kyrgyzstan,198500,5213898,"97,0"
laos,236800,6368481,"66,4"
latvia,64589,2274735,"99,8"
lebanon,10400,3874050,"87,4"
lesotho,30355,2022331,"84,8"
liberia,111370,3042004,"57,5"
libya,1759540,5900754,"82,6"
lithuania,65200,3585906,"99,6"
luxembourg,2586,474413,"100,0"
macedonia,25333,2050554,
madagascar,587040,18595469,"68,9"
malawi,118480,13013926,"62,7"
malaysia,329750,24385858,"88,7"
mali,1240000,11716829,"46,4"
malta,316,400214,"92,8"
mauritania,1030700,3177388,"41,7"
mauritius,2040,1240827,"85,6"
mexico,1972550,107449525,"92,2"
moldova,33843,4466706,"99,1"
mongolia,1564116,2832224,"97,8"
morocco,446550,33241259,"51,7"
mozambique,801590,19686505,"47,8"
nepal,147181,28287147,"45,2"
netherlands,41526,16491461,"99,0"
new zealand,268680,4076140,"99,0"
nicaragua,129494,5570129,"67,5"
niger,1267000,12525094,"17,6"
nigeria,923768,131859731,"68,0"
norway,323802,4610820,"100,0"
pakistan,803940,165803560,"45,7"
panama,78200,3191319,"92,6"
paraguay,406750,6506464,"94,0"
peru,1285220,28302603,"90,9"
philippines,300000,89468677,"92,6"
poland,312685,38536869,"99,8"
portugal,92391,10605870,"93,3"
romania,237500,22303552,"98,4"
russia,17075200,142893540,"99,6"
rwanda,26338,8648248,"70,4"
saudi arabia,1960582,27019731,"78,8"
senegal,196190,11987121,"40,2"
serbia,88361,9396411,"93,0"
sierra leone,71740,6005250,"31,4"
singapore,693,4492150,"92,5"
slovakia,48845,5439448,
slovenia,20273,2010347,"99,7"
south africa,1219912,44187637,"86,4"
spain,504782,40397842,"97,9"
sri lanka,65610,20222240,"92,3"
swaziland,17363,1136334,"81,6"
sweden,449964,9016596,"99,0"
switzerland,41290,7523934,"99,0"
tajikistan,143100,7320815,"99,4"
tanzania,945087,37445392,"78,2"
thailand,514000,64631595,"92,6"
togo,56785,5548702,"60,9"
tunisia,163610,10175014,"74,2"
turkey,780580,70413958,"86,5"
turkmenistan,488100,5042920,"98,0"
uganda,236040,28195754,"69,9"
ukraine,603700,46710816,"99,7"
united arab emirates,82880,2602713,"77,9"
united kingdom,244820,60609153,"99,0"
united states,9631420,298444215,"97,0"
uruguay,176220,3431932,"98,0"
uzbekistan,447400,27307134,"99,3"
venezuela,912050,25730435,"93,4"
vietnam,329560,84402966,"90,3"
yemen,527970,21456188,"50,2"
zambia,752614,11502010,"80,6"
zimbabwe,390580,12236805,"90,7"
